RangeDistance;RangeOrientation;CellState;Norte;Este;Sur;Oeste
0;0;False,False,False,False;-100;-100;-100;-100
0;0;True,False,False,False;0;-100;-100;-100
0;0;False,True,False,False;-100;0;-100;-100
0;0;True,True,False,False;85,33986;86,20863;-31,90073;-30,76533
0;0;False,False,True,False;-100;-100;0;-100
0;0;True,False,True,False;84,10201;-20,64538;84,85827;-24,66652
0;0;False,True,True,False;-46,93837;83,96607;89,43362;-39,0377
0;0;True,True,True,False;84,92216;85,34503;87,71299;-41,42358
0;0;False,False,False,True;-100;-64,08633;-53,90697;21,34501
0;0;True,False,False,True;79,85054;-70,04368;-44,95507;64,99448
0;0;False,True,False,True;-37,65902;92,72455;-21,26483;53,99824
0;0;True,True,False,True;79,74637;82,89423;-35,65138;70,63841
0;0;False,False,True,True;-34,12374;-32,08015;83,55936;30,01566
0;0;True,False,True,True;78,62751;-46,27828;85,31537;63,86411
0;0;False,True,True,True;-28,65243;86,22093;85,36619;55,45606
0;0;True,True,True,True;81,41156;85,9513;84,58833;43,49403
0;1;False,False,False,False;-100;-100;-100;-100
0;1;True,False,False,False;0;-100;-100;-100
0;1;False,True,False,False;-100;0;-100;-100
0;1;True,True,False,False;77,68095;85,76375;-24,07683;-29,88154
0;1;False,False,True,False;-100;-100;0;-100
0;1;True,False,True,False;76,46945;-21,9001;87,19511;-23,6512
0;1;False,True,True,False;-22,95246;84,02007;83,10706;-29,16338
0;1;True,True,True,False;78,57886;85,17832;87,77589;-49,62397
0;1;False,False,False,True;-100;-100;-100;0
0;1;True,False,False,True;73,99892;-59,11926;-69,99187;73,5304
0;1;False,True,False,True;-22,23304;83,84826;-24,26854;73,7611
0;1;True,True,False,True;76,65232;83,76805;-55,15843;74,04819
0;1;False,False,True,True;-21,27311;-59,73943;84,19054;79,23384
0;1;True,False,True,True;75,06976;-45,7384;79,8856;76,14888
0;1;False,True,True,True;-23,64861;85,32305;87,68291;76,94446
0;1;True,True,True,True;77,29704;87,84911;84,69992;76,42697
0;2;False,False,False,False;-100;-100;-100;-100
0;2;True,False,False,False;0;-100;-100;-100
0;2;False,True,False,False;-100;0;-100;-100
0;2;True,True,False,False;53,59175;78,99841;-58,94281;-67,91873
0;2;False,False,True,False;-100;-100;0;-100
0;2;True,False,True,False;55,97648;-23,32475;86,86726;-30,87297
0;2;False,True,True,False;-22,36217;80,96803;86,90733;-83,54392
0;2;True,True,True,False;52,82284;80,51646;83,4827;-30,11723
0;2;False,False,False,True;-100;-100;-100;0
0;2;True,False,False,True;38,32368;-35,61772;-23,80349;84,09558
0;2;False,True,False,True;-21,45948;79,72274;-21,12817;86,7872
0;2;True,True,False,True;74,45995;80,57632;-28,97057;79,87203
0;2;False,False,True,True;-21,00066;-33,56568;88,64694;89,6992
0;2;True,False,True,True;57,15866;-47,61483;86,21237;85,4942
0;2;False,True,True,True;-22,04429;78,50212;86,3855;86,84636
0;2;True,True,True,True;49,88494;84,97074;85,75362;84,56164
0;3;False,False,False,False;-100;-100;-100;-100
0;3;True,False,False,False;0;-100;-100;-100
0;3;False,True,False,False;-100;0;-100;-100
0;3;True,True,False,False;74,8564;72,48244;-49,953;-32,19447
0;3;False,False,True,False;-100;-100;0;-100
0;3;True,False,True,False;77,48493;-20,49483;84,36404;-76,59142
0;3;False,True,True,False;-25,62615;76,54578;82,27399;-51,48793
0;3;True,True,True,False;76,021;75,89244;80,86808;-69,63092
0;3;False,False,False,True;-100;-100;-100;0
0;3;True,False,False,True;80,03893;-24,07566;-46,32387;83,77482
0;3;False,True,False,True;-20,89016;76,35363;-22,37095;87,29223
0;3;True,True,False,True;79,23127;73,96917;-64,06637;80,97969
0;3;False,False,True,True;-20,96016;-23,01389;87,94538;87,23381
0;3;True,False,True,True;79,83179;-22,79354;86,25727;85,01312
0;3;False,True,True,True;-20,92272;76,94408;82,40775;85,15987
0;3;True,True,True,True;79,2804;75,42026;83,32803;84,79826
0;4;False,False,False,False;-100;-100;-100;-100
0;4;True,False,False,False;0;-100;-100;-100
0;4;False,True,False,False;-100;0;-100;-100
0;4;True,True,False,False;85,18607;50,40125;-52,2828;-54,72192
0;4;False,False,True,False;-100;-100;0;-100
0;4;True,False,True,False;88,62782;-18,38134;80,57331;-73,36629
0;4;False,True,True,False;-31,4565;73,95652;79,39842;-77,03195
0;4;True,True,True,False;87,85934;35,18916;82,90385;-78,40674
0;4;False,False,False,True;-100;-82,81277;-55,29155;45,07349
0;4;True,False,False,True;91,71465;-17,79356;-35,53581;91,38194
0;4;False,True,False,True;-46,4643;44,36176;-23,09513;89,67626
0;4;True,True,False,True;91,07807;51,50631;-62,67694;90,25797
0;4;False,False,True,True;-19,64634;-18,16089;85,83331;89,34697
0;4;True,False,True,True;90,49582;-18,81352;82,58009;89,95133
0;4;False,True,True,True;-34,10888;60,56172;83,79716;91,19032
0;4;True,True,True,True;90,48875;48,4778;84,65518;91,00077
0;5;False,False,False,False;-100;-100;-100;-100
0;5;True,False,False,False;0;-100;-100;-100
0;5;False,True,False,False;-100;0;-100;-100
0;5;True,True,False,False;90,06356;77,30032;-17,88618;-73,68877
0;5;False,False,True,False;-100;-100;0;-100
0;5;True,False,True,False;89,71163;-21,22598;80,82886;-61,68617
0;5;False,True,True,False;-39,08987;77,12605;79,37159;-54,60087
0;5;True,True,True,False;90,45771;78,00182;80,03527;-43,68178
0;5;False,False,False,True;-100;-100;-100;31,93602
0;5;True,False,False,True;88,30077;-19,49917;-20,43053;92,26042
0;5;False,True,False,True;-21,21639;80,21597;-17,9873;91,29379
0;5;True,True,False,True;90,29159;78,21346;-18,75976;91,372
0;5;False,False,True,True;-19,18102;-19,64403;81,29628;89,30819
0;5;True,False,True,True;90,193;-19,96491;80,73671;90,09522
0;5;False,True,True,True;-29,54551;76,70988;80,63157;88,57108
0;5;True,True,True,True;90,96323;79,05494;80,66067;90,56522
0;6;False,False,False,False;-100;-100;-100;-100
0;6;True,False,False,False;0;-100;-100;-100
0;6;False,True,False,False;-100;0;-100;-100
0;6;True,True,False,False;89,24846;89,1124;-20,78192;-48,56193
0;6;False,False,True,False;-100;-100;0;-100
0;6;True,False,True,False;87,97542;-20,68709;45,37125;-72,44551
0;6;False,True,True,False;-76,18433;82,57343;46,58081;-51,86819
0;6;True,True,True,False;88,48557;86,28053;40,69916;-36,06921
0;6;False,False,False,True;-100;-74,66029;-80,25118;56,61958
0;6;True,False,False,True;86,14758;-21,79776;-20,20273;83,45049
0;6;False,True,False,True;-49,80143;88,01232;-20,88062;80,79814
0;6;True,True,False,True;87,01865;88,19498;-22,06319;85,84919
0;6;False,False,True,True;-59,24355;-29,16486;61,35384;81,8497
0;6;True,False,True,True;85,80194;-39,40078;62,48949;85,93199
0;6;False,True,True,True;-23,4708;83,68228;53,12342;88,18755
0;6;True,True,True,True;87,96841;85,79382;36,04156;90,80931
0;7;False,False,False,False;-100;-100;-100;-100
0;7;True,False,False,False;0;-100;-100;-100
0;7;False,True,False,False;-100;0;-100;-100
0;7;True,True,False,False;86,3123;86,557;-21,40063;-21,45606
0;7;False,False,True,False;-100;-100;0;-100
0;7;True,False,True,False;85,62083;-22,46396;76,67013;-20,82958
0;7;False,True,True,False;-58,53491;79,99155;74,71502;-21,56837
0;7;True,True,True,False;87,41156;85,18143;76,757;-22,28235
0;7;False,False,False,True;-100;-88,90742;-80,4447;43,36745
0;7;True,False,False,True;85,76781;-40,3132;-20,51469;78,34541
0;7;False,True,False,True;-87,40985;85,73468;-21,10888;77,73116
0;7;True,True,False,True;86,2117;85,75858;-22,82503;77,16197
0;7;False,False,True,True;-22,58602;-28,3088;72,65771;73,8261
0;7;True,False,True,True;84,4919;-41,89913;72,59019;77,23295
0;7;False,True,True,True;-49,77341;80,67741;75,62765;73,90343
0;7;True,True,True,True;86,92335;84,21847;74,87193;77,3719
1;0;False,False,False,False;-100;-100;-100;-100
1;0;True,False,False,False;0;-100;-100;-100
1;0;False,True,False,False;-100;0;-100;-100
1;0;True,True,False,False;79,21694;81,75987;-52,32081;-24,07729
1;0;False,False,True,False;-100;-100;0;-100
1;0;True,False,True,False;73,64172;-22,03732;82,33587;-19,2199
