RangeDistance;RangeOrientation;CellState;Norte;Este;Sur;Oeste
0;0;False,False,False,False;-100;-100;-100;-100
0;0;True,False,False,False;-89,1699;-100;-100;-100
0;0;False,True,False,False;-100;-72,60968;-100;-100
0;0;True,True,False,False;-100;-100;-100;-100
0;0;False,False,True,False;-100;-100;0;-100
0;0;True,False,True,False;-100;-100;-100;-100
0;0;False,True,True,False;-100;-100;-100;-100
0;0;True,True,True,False;-100;-100;-100;-100
0;0;False,False,False,True;-100;-100;-100;0
0;0;True,False,False,True;-89,77737;-100;-100;-94,096
0;0;False,True,False,True;-100;-86,75843;-100;-98
0;0;True,True,False,True;-88,01859;-92,62144;-100;-95,12
0;0;False,False,True,True;-100;-100;-89,73801;-100
0;0;True,False,True,True;-93,2768;-100;-89,71089;-100
0;0;False,True,True,True;-100;-100;-100;-100
0;0;True,True,True,True;-100;-100;-93,27473;-100
0;1;False,False,False,False;-100;-100;-100;-100
0;1;True,False,False,False;-87,46673;-100;-100;-100
0;1;False,True,False,False;-100;-48,528;-100;-100
0;1;True,True,False,False;-83,81525;-84,25357;-100;-100
0;1;False,False,True,False;-100;-100;0;-100
0;1;True,False,True,False;-89,99998;-100;-88,46669;-100
0;1;False,True,True,False;-100;-83,29599;-83,62111;-100
0;1;True,True,True,False;-89,99784;-87,40034;-87,5405;-100
0;1;False,False,False,True;-100;-100;-100;0
0;1;True,False,False,True;-89,99962;-100;-100;-89,99998
0;1;False,True,False,True;-100;-87,68616;-100;-89,99998
0;1;True,True,False,True;-89,99376;-75,50172;-100;-89,99706
0;1;False,False,True,True;-100;-100;-81,10933;-88,37871
0;1;True,False,True,True;-89,99907;-100;-89,10197;-89,99497
0;1;False,True,True,True;-100;-89,08608;-84,56532;-89,99743
0;1;True,True,True,True;-89,99704;-88,46278;-79,29399;-89,99718
0;2;False,False,False,False;-100;-100;-100;-100
0;2;True,False,False,False;-90,97517;-100;-100;-100
0;2;False,True,False,False;-100;-37,36;-100;-100
0;2;True,True,False,False;-100;-87,55113;-100;-100
0;2;False,False,True,False;-100;-100;0;-100
0;2;True,False,True,False;-100;-100;-89,98309;-100
0;2;False,True,True,False;-100;-82,41225;-75,48231;-100
0;2;True,True,True,False;-100;-89,10978;-89,10106;-100
0;2;False,False,False,True;-100;-100;-100;0
0;2;True,False,False,True;-100;-100;-100;-83,30983
0;2;False,True,False,True;-100;-89,15587;-100;-76,90067
0;2;True,True,False,True;-92,97456;-89,54372;-100;-84,6946
0;2;False,False,True,True;-100;-100;-86,2236;-81,41102
0;2;True,False,True,True;-100;-100;-87,95844;-83,39169
0;2;False,True,True,True;-100;-89,9891;-85,45222;-80,82593
0;2;True,True,True,True;-100;-89,99339;-89,38575;-82,7614
0;3;False,False,False,False;-100;-100;-100;-100
0;3;True,False,False,False;-67,55767;-100;-100;-100
0;3;False,True,False,False;-100;-18;-100;-100
0;3;True,True,False,False;-75,10277;-85,78201;-100;-100
0;3;False,False,True,False;-100;-100;0;-100
0;3;True,False,True,False;-75,14801;-100;-83,12264;-100
0;3;False,True,True,False;-100;-83,81133;-75,02721;-100
0;3;True,True,True,False;-76,50801;-86,30741;-84,79405;-100
0;3;False,False,False,True;-100;-100;-100;0
0;3;True,False,False,True;-52,10336;-100;-100;-54,61805
0;3;False,True,False,True;-100;-86,33376;-100;-68,93182
0;3;True,True,False,True;-76,27108;-88,01268;-100;-76,68544
0;3;False,False,True,True;-100;-100;-68,39723;-69,14674
0;3;True,False,True,True;-76,45463;-100;-80,73705;-77,65773
0;3;False,True,True,True;-100;-85,68353;-77,57045;-71,8701
0;3;True,True,True,True;-76,28824;-86,87728;-82,65456;-82,73078
0;4;False,False,False,False;-100;-100;-100;-100
0;4;True,False,False,False;-44,35635;-100;-100;-100
0;4;False,True,False,False;-100;-100;-100;-100
0;4;True,True,False,False;-71,78365;-96,5982;-100;-100
0;4;False,False,True,False;-100;-100;0;-100
0;4;True,False,True,False;-72,17426;-100;-74,89449;-100
0;4;False,True,True,False;-100;-96,6;-75,92024;-100
0;4;True,True,True,False;-76,1246;-85,23907;-82,14325;-100
0;4;False,False,False,True;-100;-100;-100;0
0;4;True,False,False,True;-61,75287;-100;-100;-57,53941
0;4;False,True,False,True;-100;-100;-100;-70,33632
0;4;True,True,False,True;-69,64503;-95;-100;-69,3774
0;4;False,False,True,True;-100;-100;-76,88792;-68,00785
0;4;True,False,True,True;-70,36441;-100;-75,73994;-68,04775
0;4;False,True,True,True;-100;-81,5536;-81,31526;-69,22615
0;4;True,True,True,True;-76,8036;-100;-80,54546;-73,13937
0;5;False,False,False,False;-100;-100;-100;-100
0;5;True,False,False,False;-29,88;-100;-100;-100
0;5;False,True,False,False;-100;-64,65805;-100;-100
0;5;True,True,False,False;-75,03146;-86,37141;-100;-100
0;5;False,False,True,False;-100;-100;0;-100
0;5;True,False,True,False;-81,58607;-100;-79,00792;-100
0;5;False,True,True,False;-100;-87,92135;-78,97816;-100
0;5;True,True,True,False;-82,25387;-86,7878;-81,15706;-100
0;5;False,False,False,True;-100;-100;-100;0
0;5;True,False,False,True;-53,24912;-100;-100;-54,04109
0;5;False,True,False,True;-100;-86,80318;-100;-69,16837
0;5;True,True,False,True;-79,37109;-87,86535;-100;-74,48323
0;5;False,False,True,True;-100;-100;-68,13119;-65,25846
0;5;True,False,True,True;-77,41234;-100;-78,77589;-71,67314
0;5;False,True,True,True;-100;-88,6873;-79,92156;-77,32961
0;5;True,True,True,True;-82,29082;-88,01313;-76,46632;-79,04278
0;6;False,False,False,False;-100;-100;-100;-100
0;6;True,False,False,False;-69,68381;-100;-100;-100
0;6;False,True,False,False;-100;-64,14292;-100;-100
0;6;True,True,False,False;-84,5048;-83,28707;-100;-100
0;6;False,False,True,False;-100;-100;0;-100
0;6;True,False,True,False;-85,89984;-100;-98;-100
0;6;False,True,True,False;-100;-89,99996;-98;-100
0;6;True,True,True,False;-89,9966;-89,99496;-100;-100
0;6;False,False,False,True;-100;-100;-100;0
0;6;True,False,False,True;-82,92531;-100;-100;-86,67563
0;6;False,True,False,True;-100;-87,56767;-100;-85,69161
0;6;True,True,False,True;-85,80325;-85,56172;-100;-81,42555
0;6;False,False,True,True;-100;-100;-98;-85,14603
0;6;True,False,True,True;-88,66165;-100;-95,11856;-83,70302
0;6;False,True,True,True;-100;-87,02003;-96,39856;-85,96982
0;6;True,True,True,True;-87,94157;-85,5212;-95,11856;-85,76073
0;7;False,False,False,False;-100;-100;-100;-100
0;7;True,False,False,False;-74,56168;-100;-100;-100
0;7;False,True,False,False;-100;-43,888;-100;-100
0;7;True,True,False,False;-34,16;-32,4;-100;-100
0;7;False,False,True,False;-100;-100;0;-100
0;7;True,False,True,False;-84,02193;-100;-89,99998;-100
0;7;False,True,True,False;-100;-88,37355;-89,98657;-100
0;7;True,True,True,False;-88,40376;-86,18379;-89,9998;-100
0;7;False,False,False,True;-100;-100;-100;0
0;7;True,False,False,True;-81,8698;-100;-100;-89,33592
0;7;False,True,False,True;-100;-83,338;-100;-89,99998
0;7;True,True,False,True;-89,44225;-86,77137;-100;-89,99779
0;7;False,False,True,True;-100;-100;-89,99998;-89,99998
0;7;True,False,True,True;-89,26176;-100;-89,99998;-89,99601
0;7;False,True,True,True;-100;-87,81171;-89,99973;-89,99818
0;7;True,True,True,True;-86,08476;-87,99362;-89,99834;-89,99346
1;0;False,False,False,False;-100;-100;-100;-100
1;0;True,False,False,False;-70,29564;-100;-100;-100
1;0;False,True,False,False;-100;-51,64992;-100;-100
1;0;True,True,False,False;-71,65522;-69,99371;-100;-100
1;0;False,False,True,False;-100;-100;0;-100
1;0;True,False,True,False;-70,34361;-100;-69,99998;-100
1;0;False,True,True,False;-100;-69,98837;-69,98825;-100
1;0;True,True,True,False;-70,14037;-69,98974;-69,81154;-100
1;0;False,False,False,True;-100;-100;-100;0
1;0;True,False,False,True;-70,74327;-100;-100;-77,43192
1;0;False,True,False,True;-100;-69,99989;-100;-70,25892
1;0;True,True,False,True;-72,75231;-69,99925;-100;-70,89199
1;0;False,False,True,True;-100;-100;-69,99998;-73,57259
1;0;True,False,True,True;-70,42953;-100;-69,9995;-70,0386
1;0;False,True,True,True;-100;-69,99923;-69,99444;-70,58693
1;0;True,True,True,True;-69,99567;-69,99913;-69,99794;-74,17458
1;1;False,False,False,False;-100;-100;-100;-100
1;1;True,False,False,False;-77,75005;-100;-100;-100
1;1;False,True,False,False;-100;-69,98546;-100;-100
1;1;True,True,False,False;-74,35975;-69,99791;-100;-100
1;1;False,False,True,False;-100;-100;0;-100
1;1;True,False,True,False;-72,96416;-100;-69,99998;-100
1;1;False,True,True,False;-100;-69,99998;-69,99998;-100
1;1;True,True,True,False;-71,16648;-69,99672;-69,03127;-100
1;1;False,False,False,True;-100;-100;-100;0
1;1;True,False,False,True;-70,00517;-100;-100;-71,73623
1;1;False,True,False,True;-100;-69,82218;-100;-70,17593
1;1;True,True,False,True;-71,62553;-69,99574;-100;-70,00635
1;1;False,False,True,True;-100;-100;-69,77801;-72,6873
1;1;True,False,True,True;-70,02349;-100;-69,99979;-69,993
1;1;False,True,True,True;-100;-69,99703;-69,93542;-71,69504
1;1;True,True,True,True;-71,05727;-69,99536;-69,99623;-71,88773
1;2;False,False,False,False;-100;-100;-100;-100
1;2;True,False,False,False;-77,54247;-100;-100;-100
1;2;False,True,False,False;-100;-70,00002;-100;-100
1;2;True,True,False,False;-73,62813;-70,0153;-100;-100
1;2;False,False,True,False;-100;-100;0;-100
1;2;True,False,True,False;-70,41691;-100;-69,99995;-100
1;2;False,True,True,False;-100;-70,49477;-69,99998;-100
1;2;True,True,True,False;-70,80387;-69,99901;-69,98426;-100
1;2;False,False,False,True;-100;-100;-100;0
1;2;True,False,False,True;-72,5277;-100;-100;-69,99998
1;2;False,True,False,True;-100;-74,02057;-100;-69,07018
1;2;True,True,False,True;-70,03305;-70,25536;-100;-66,5451
1;2;False,False,True,True;-100;-100;-69,95929;-69,95241
1;2;True,False,True,True;-73,79502;-100;-69,97962;-69,98034
1;2;False,True,True,True;-100;-71,21085;-69,27817;-67,16624
1;2;True,True,True,True;-71,94888;-69,99948;-69,97607;-69,94452
1;3;False,False,False,False;-100;-100;-100;-100
1;3;True,False,False,False;-59,36641;-100;-100;-100
1;3;False,True,False,False;-100;-63,79902;-100;-100
1;3;True,True,False,False;-60,68882;-60,08577;-100;-100
1;3;False,False,True,False;-100;-100;0;-100
1;3;True,False,True,False;-51,83306;-100;-60,10793;-100
1;3;False,True,True,False;-100;-62,36027;-60,02437;-100
1;3;True,True,True,False;-65,93356;-63,36733;-60,03864;-100
1;3;False,False,False,True;-100;-100;-100;0
1;3;True,False,False,True;-58,2676;-100;-100;-57,88894
1;3;False,True,False,True;-100;-65,30537;-100;-59,99994
1;3;True,True,False,True;-57,99646;-60,86572;-100;-59,99972
1;3;False,False,True,True;-100;-100;-62,20553;-59,99999
1;3;True,False,True,True;-60,94704;-100;-60,57755;-59,99296
1;3;False,True,True,True;-100;-60,44104;-60,25723;-59,99672
